cust_num,category,balance,age,acct_num,opendt
148,intl equity,18436.5611111111,92,605,15127
148,mon mkt,73490.4888888889,92,606,15127
148,high equity,26900.6222222222,92,607,15127
148,high equity,12381.5333333333,92,608,15127
148,intl equity,14634.9111111111,92,609,15152
148,high equity,24909.6666666667,92,610,15357
148,low  equity,34379.9333333333,92,611,15357
148,intl equity,15240.0166666667,92,612,16659
149,low  equity,10205.6388888889,69,613,13984
149,low  equity,16164.4,69,614,15082
149,low  equity,4161.6,69,615,13984
149,bonds,1344.03888888889,69,616,15748
149,mon mkt,3064.03888888889,69,617,15748
149,bonds,33746.5611111111,69,618,15748
149,intl equity,7796.12777777778,69,619,15748
149,low  equity,22153.6611111111,69,620,18007
151,high equity,4152.18333333333,50,621,14997
151,intl equity,6360.60555555556,50,622,14997
151,intl equity,3759.91111111111,50,623,14973
152,high equity,9846.65,53,624,15067
152,low  equity,4116.82222222222,53,625,15067
153,mon mkt,7159.26111111111,55,626,14675
154,mon mkt,1849.36666666667,36,627,15036
155,high equity,13049.25,36,628,15074
156,bonds,3550.47777777778,83,629,15076
156,low  equity,6246.4,83,630,15076
156,bonds,16359.0555555556,83,631,15076
156,high equity,2530.85,83,632,15076
157,high equity,20742.6277777778,56,633,14111
157,low  equity,24989.1111111111,56,634,15732
157,mon mkt,6716.55555555555,56,635,15732
157,low  equity,14557.3388888889,56,636,14553
157,high equity,12140.3,56,637,15732
157,low  equity,23737.7,56,638,13411
157,bonds,17555.0555555556,56,639,15732
157,low  equity,13760.5166666667,56,640,15732
157,bonds,8030.42777777778,56,641,16194
159,mon mkt,21038.6611111111,99,642,14007
159,low  equity,69554.15,99,643,15435
159,bonds,75045.0611111111,99,644,17426
159,bonds,57650.0944444444,99,645,18065
161,low  equity,35174.6277777778,30,646,16093
